Provinsi / Kabupaten / Kota,Keterlibatan Perempuan di Parlemen (Persen),,,,,,
,2010,2011,2012,,,,
ACEH,5.8,4.35,5.8,,,,
SIMEULUE,15,15,5,,,,
ACEH SINGKIL,12,12,16,,,,
ACEH SELATAN,0.01,0.01,0.01,,,,
ACEH TENGGARA,12,12,12,,,,
ACEH TIMUR,5.71,5.71,5.71,,,,
ACEH TENGAH,6.67,6.67,6.67,,,,
ACEH BARAT,3.33,3.33,3.33,,,,
ACEH BESAR,2.86,2.86,2.86,,,,
PIDIE,4.44,4.44,4.44,,,,
BIREUEN,5.71,5.71,2.86,,,,
ACEH UTARA,2.22,2.22,2.22,,,,
ACEH BARAT DAYA,0.01,0.01,0.01,,,,
GAYO LUES,5,5,10,,,,
ACEH TAMIANG,13.33,13.33,6.67,,,,
NAGAN RAYA,12,12,12,,,,
ACEH JAYA,0.01,0.01,0.01,,,,
BENER MERIAH,4,4,4,,,,
PIDIE JAYA,8,8,16,,,,
KOTA BANDA ACEH,3.33,3.33,3.33,,,,
KOTA SABANG,10,10,10,,,,
KOTA LANGSA,32,32,16,,,,
KOTA LHOKSEUMAWE,12,12,12,,,,
KOTA SUBULUSSALAM,20,20,26.67,,,,
SUMATERA UTARA,16,15,17,,,,
NIAS,4,4,0.01,,,,
MANDAILING NATAL,5,7.5,7.5,,,,
TAPANULI SELATAN,8.89,6.67,6.67,,,,
TAPANULI TENGAH,16.67,20,20,,,,
TAPANULI UTARA,5.71,8.57,8.57,,,,
TOBA SAMOSIR,8,12,12,,,,
LABUHAN BATU,10,10,10,,,,
ASAHAN,8.89,8.89,8.89,,,,
SIMALUNGUN,11.11,8.89,8.89,,,,
DAIRI,10,10,10,,,,
KARO,8.82,11.43,11.43,,,,
DELI SERDANG,16,16,16,,,,
LANGKAT,6,8,8,,,,
NIAS SELATAN,13.33,13.33,13.33,,,,
HUMBANG HASUNDUTAN,4,4,4,,,,
PAKPAK BHARAT,5,5,5,,,,
SAMOSIR,12,12,12,,,,
SERDANG BEDAGAI,13.33,13.33,11.11,,,,
BATU BARA,5.71,5.71,5.71,,,,
